id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;text;text_2;text_3;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment
Protokolle_1897_04_05_01;Sitzung;IX;IV;7;149;206;05. April 1897;1897;Julius Lenzmann;Zweite Berathung des Entwurfs eines Handelsgesetzbuchs nebst Einführungsgesetz (Nr. 632, Zu 632, 735, ad 735 der Anlagen) - §§ 70, 71 Kündigung ohne Kündigungsfrist;Man hat davon gesprochen der Angestellte könne die unsittlichen Lebensanschauungen in die Familie hineintragen Ja es ist nichts leichter als daß der Prinzipal den Angestellten aus dem Familienverkehr wenn es ihm nicht paßt ohne weiteres entfernt aber wohl ist der Fall viel naheliegender daß wenn ein Prinzipal in dem Verdacht eines unsittlichen Lebenswandels steht oder wenn er durch seinen Lebenswandel den berechtigten Verdacht erweckt daß er ein unsittlicher Mensch ist meinetwegen widernatürlichen Lastern sich hingiebt die Reputation des Angestellten für lange lange Zeit vernichtet oder geschädigt werden kann wenn er genöthigt wird gegen seinen Wunsch noch längere Zeit im Dienstverhältniß zu bleiben er kann da die Erfahrung machen daß ihm einfach gesagt wird nein nachdem du monatelang bei dem Prinzipal dessen Lebenswandel für jeden ein Skandal ist noch gedient hast befürchten wir daß das auch auf deine Sittlichkeit nicht ohne Einfluß geblieben ist deshalb danken wir für das Engagement eines solchen Menschen der in einem derartigen Dienstverhältniß so lange gestanden hat Lediglich das sittliche und wirthschaftliche Interesse eines solchen Menschen erheischt daß er recht bald von dem einem unsittlichen Lebenswandel stöhnenden Prinzipal entfernt wird und dieser Grund ist viel intensiver als derjenige Grund der für die Annahme des Antrags Roeren spricht ;.;.;widernat*;5522–5524;0;linksliberal;Deutsche Freisinnige Volkspartei;Abgeordneter;evangelisch;Hagen;Westfalen;3 Arnsberg;"Rechtsanwalt; Notar";Jurist;hier S. 5523f.
Protokolle_1898_01_13_01;Sitzung;IX;V;1;159;16;13. Januar 1898;1898;August Bebel;Erste Berathung des von den Abgeordneten Prinz von Arenberg, Gröber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergänzung des Strafgesetzbuchs (Nr. 35 der Anlagen);Ich habe hier insbesondere den Eingang der Bestimmungen des § 175 — er handelt von der widernatürlichen Unzucht — im Auge Es wird nothwendig sein wenn die Kommission gewählt wird — und ich stimme bei daß eine solche gewählt wird weil meines Erachtens dieser Gesetzentwurf ohne Kommisstonsberathung nicht Gesetzeskraft erlangen kann — daß alsdann insbe sondere die preußische Staatsregierung ersucht wird ein gewisses Material was der hiesigen Berliner Sittenpolizei zur Verfügung steht uns vorzulegen um auf Grund der Prüfung desselben uns zu fragen ob wir die Bestimmung im § 175 Eingangs desselben aufrecht erhalten können und dürfen und wenn sie aufrecht erhalten werden soll ob wir sie dann nicht erweitern müssen Mir ist aus bester Quelle bekannt daß die hiesige Polizei die Namen von Männern die das im § 175 mit Zuchthaus bedrohte Verbrechen begehen nicht etwa sobald sie dieses in Erfahrung bringt dem Staatsanwalt nennt sondern die Namen der betreffenden Personen zu den übrigen Namen hinzuschreibt die aus dem gleichen Grunde bereits in ihren Registern enthalten sind (Hört hört links) Die Zahl dieser Personen ist aber so groß und greift so in alle Gesellschaftskreise von den untersten bis zu den höchsten ein daß wenn hier die Polizei pflichtmäßig ihre Schuldigkeit thäte der preußische Staat sofort gezwungen würde allein um das Verbrechen gegen § 175 soweit es in Berlin begangen wird zu sühnen zwei neue Gefängnißanstalten zu bauen (Bewegung Hört hört) — Das ist keine Uebertreibung es handelt sich Herr von Levetzow um Tausende von Personen aus allen Gesellschaftskreisen Es entsteht aber auch weiter die Frage ob denn nicht auch die Bestimmung im Eingang des § 175 nicht bloß auf die Männer sondern auch auf die Frauen auszudehnen sei von deren Seite dasselbe Verbrechen begangen wird Was in dem einen Falle dem einen Geschlecht recht ist ist dem andern billig Aber meine Herren eins sage ich Ihnen würde auf diesem Gebiete die Berliner Polizei — ich will zunächst einmal von dieser reden — ihre volle Pflicht und Schuldigkeit thun dann gäbe es einen Skandal wie noch niemals ein Skandal in der Welt gewesen ist einen Skandal gegen den der Panamaskandal der Dreyfusskandal der LützowLeckert und der TauschNormann SchumannSkandal das reine Kinderspiel sind Vielleicht ist das einer der Gründe weshalb mit so außerordentlicher Laxheit seitens der Polizei gerade das Verbrechen das dieser Paragraph bestraft behandelt wird Meine Herren der § 175 steht im Strafgesetz und weil er darin steht muß er gehandhabt werden Kann das Strafgesetz aber aus irgend welchen Gründen in diesem Punkte nicht gehandhabt werden wird es nur ausnahmsweise gehandhabt dann entsteht die Frage ob die Strafbestimmung aufrecht erhalten werden kann Ich will hinzufügen daß wir gerade in dieser Session — manche der Herren haben das vielleicht noch nicht berücksichtigt — eine gedruckte Petition vorliegen haben unterzeichnet n A auch von meiner Person und von einer Anzahl Kollegen aus anderen Parteien ferner aus Schriftsteller und Gelehrtenkreisen von Juristen mit Namen besten Klanges Psycho und Pathologen von Sachverständigen ersten Ranges auf diesem Gebiete die aus Gründen die ich begreiflicherweise des näheren hier nicht auseinandersetzen will die Meinung vertreten daß eine Aenderung der Strafgesetzgebung auf diesem Gebiete in dem Sinne einzutreten habe daß die Beseitigung der betreffenden Bestimmung im § 175 herbeigeführt werden müsse;.;.;"widernat*; §175";410–418;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Köln;Rheinprovinz;8 Elsaß-Lothringen;"Drechslermeister; Schriftsteller";Autor/Journalist;hier S. 410
Protokolle_1898_01_19_01;Sitzung;IX;V;1;159;20;19. Januar 1898;1898;Martin Schall ;Fortsetzung und Schluß der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Gröber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergänzung des Strafgesetzbuchs (Nr. 35 der Anlagen);Der Abgeordnete Bebel ist neulich zuerst auf den § 175 des Strafgesetzbuchs gekommen der von der widernatürlichen Unzucht handelt er hat gesagt die Polizei verfolge die Praxis die Namen der Männer die dieses mit Zuchthaus bedrohte Verbrechen begehen einfach zu registriren es gehörten dazu Tausende von Personen aus allen Gesellschaftskreisen Ich gestehe daß ich durch diese Mittheilung des Herrn Bebel geradezu erschreckt in gewissem Sinne kann ich sagen konsternirt und aufs tiefste deprimirt worden bin Ich habe auch die von Herrn Bebel mit angezogene Petition die ja von Männern von berühmten Namen aus allen Berufsschichten unterschrieben ist und von der Herr Bebel sagt er habe sie selbst mit unterschrieben — ich habe allerdings seine Unterschrift nicht gefunden — auch bekommen die eine Aufhebung dieses Paragraphen verlangt und ich habe wie vor einem Räthsel gestanden wie es überhaupt möglich ist daß Männer von öffentlicher Stellung und sittlichem Urtheil eine solche Petition einreichen können denn meine Herren es handelt sich doch hier um ein Verbrechen welches bereits der Apostel Paulus als eine der schlimmsten Versündigungen und Lastern des alten Heidenthums im Briefe an die Römer im ersten Kapitel hingestellt hat dessentwegen das alte Heidenthum dem verdienten Untergänge verfallen sei Es ist ja hier nicht der Ort und die Aufgabe auf diese Sache einzugehen Ich glaube es wird hier Sache der Kommission sein die Herren Vertreter der Regierung zu bitten uns in dieses mir wenigstens bisher vollständig verschlossene Gebiet einen Einblick zu verschaffen damit wenn wirklich solche Zustände dort vorhanden sind wie sie von dem Herrn Abgeordneten Bebel ausgesagt wurden wir alles thun um auf dem Wege des Gesetzes diesen unnatürlichen Lastern Vergehen und Verbrechen entgegenzutreten durch solche Strafen welche der Natur dieser Verbrechen nach christlich sittlichen Grundsätzen entsprechen und zugleich ihre volle rücksichtslose Durchführung in der Praxis der Polizei und Rechtspflege ermöglichen und garantiren;.;.;"widernat*; §175";516–519;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Schlaupitz;Provinz Schlesien;7 Potsdam;Prediger;Geistlicher;hier S. 516f.
Protokolle_1899_03_09_01;Sitzung;X;I;2;166;52;09. März 1899;1899;Ernst Himburg;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergänzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Gröber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergänzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschärfung derjenigen Strafen, welche für Sittlichkeitsverbrechen, insbesondere für die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);Seit einigen Jahren schon sind uns in nicht zu kurzen Zwischenräumen Petitionen zugegangen welche bezwecken den § 175 aufzuheben der die widernatürliche Unzucht zwischen Personen männlichen Geschlechts bestraft Diese Petitionen sind vielfach von angesehenen Personen unterschrieben und die Gründe sind in der Hauptsache die daß man sagt wenn derartige Vergehungen vorkommen sind sie in der Regel auf krankhafte Veranlagung zurückzuführen Es ist wohl ein Zug der Zeit daß mit der krankhaften Veranlagung in der Justiz zu viel gearbeitet wird (sehr richtig rechts) daß überhaupt bedenklich viele Freisprechungen auf Grund der Annahme erfolgen daß da Geistesstörung vorgelegen hat (Sehr wahr rechts) Es ist für mich nicht angezeigt ein kompetentes Urtheil abgeben zu wollen aber ich spreche die eigene Meinung aus es ist vielfach aufgefallen daß sobald irgend eine strafbare namentlich eine schwer strafbare Handlung ein Verbrechen passirt ist der Thäter für geisteskrank erklärt wird Daß es vorkommen kann daß aus krankhafter geistiger Störung Verbrechen — auch gegen § 175 — begangen werden ist ja zweifellos Aber dann muß es genügen daß dies im einzelnen Falle festgestellt wird und wenn es unbestritten erwiesen ist Freisprechung erfolgt Ich halte es aber für unangängig daraufhin generell diesen Paragraphen aufzuheben Es wird vielfach gesagt es findet sich kein rechter Grund für eine derartige Beschränkung über den eigenen Körper Das mag möglich sein aber ob Grund oder nicht — ich glaube wollten wir diesen Paragraphen aufheben so würde das Volk uns nicht verstehen;.;.;"§175; widernat*";1414–1415;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Hohengöhren;Provinz Sachsen;2 Magdeburg;"Amtsgerichtsrat; Rittergutsbesitzer; Prem.-Leutnant a.D. zu Osterburg";Jurist;hier S. 1415
Protokolle_1899_03_09_02;Sitzung;X;I;2;166;52;09. März 1899;1899;Dr. med. Friedrich Karl Endemann;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergänzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Gröber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergänzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschärfung derjenigen Strafen, welche für Sittlichkeitsverbrechen, insbesondere für die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);Meine Herren ich wende mich zuerst gegen den letzten Herrn Vorredner und seine Bemerkung über den Paragraphen der die Homosexualität — um diesen Ausdruck zu gebrauchen — nicht außer Strafe gesetzt wissen will Darüber läßt sich ja streiten ich gestehe offen ich stehe da auch auf seinem Standpunkt Meine Herren dann wende ich mich gegen den Herrn Abgeordneten Freiherrn von Stumm Ich bin kein Jurist aber die Verwechselung mit dem Strafmaximum und Strafminimum und nachher von einem zum andern zu kommen hat mich doch in gewisses Erstaunen versetzt ebenso wie seine Kritik der einzelnen Urtheile denen ja der hohe Reichstag hier absolut nicht folgen kann Meine Herren der Herr Staatssekretär des Reichsjustizamts hat uns eine genaue Darstellung der Entstehung dieser Vorlage gegeben Ich stimme in vielem mit ihm überein namentlich darin daß er sagt diese Vorlage ist eigentlich eine Vorlage die eines gewissen Zusammenhanges nicht entbehrt Ja meine Herren das ist sehr richtig sie entbehrt des Zusammenhanges nicht Aber der Zusammenhang ist in der Berathung dieser Vorlage durchaus nicht nothwendig Ich erinnere nur an die §§ 180 und 181 und die übrigen von 184 an Das find zwei ganz verschiedene Themata wie ich Ihnen nachher in meiner Rede nachweisen kann Ich wünsche auch daß etwas zu Stande kommt namentlich der erste Theil der Vorlage der ja eine tiefe Beunruhigung bis jetzt gebracht hat Die jetzt bestehenden §§ 180 und 181 des Strafgesetzbuchs haben in gewisser Weise manchmal recht traurige Folgen gehabt;.;.;*sexu*;1415–1417;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Kassel;Provinz Hessen-Nassau;2 Kassel;"Sanitätsrat; Arzt; Vizebürgermeister (Kassel)";Mediziner;hier S. 1415
;;;;;;;;1900;.;.;.;.;.;.;.;;;;;;;;;;;
Protokolle_1901_02_21_01;Sitzung;X;II;2;180;54;21.02.1901;1901;Graf Franz von Ballestrem;Petitionen, welche zur Erörterung im Plenum nicht als geeignet erachtet werden (Nr. 128 der Anlagen);Wir kommen zur Abstimmung Ein Abänderungsantrag ist nicht gestellt ich darf daher wenn niemand widerspricht annehmen daß das Haus dem Antrage seiner Petitionskommission der Reichstag wolle beschließen die Petition II Nr 166 der Städte Worms Speyer und Germersheim betreffend die Einberufung einer Reichskommisston zur Prüfung der sanitären Verhältnisse der mehreren Staaten gemeinsamen Ströme dem Herrn Reichskanzler zur Erwägung zu überweisen zustimmt — Dies ist der Fall da niemand widerspricht Hiermit ist der zweite Gegenstand der Tagesordnung erledigt und wir kommen zum dritten Gegenstände der Tagesordnung Petitionen welche von der Kommission für die Petitionen als nicht geeignet zur Erörterung im Plenum erachtet im Bureau des Hauses niedergelegt sind (Nr 128 der Drucksachen) In dieser Nummer finden Sie die Petitionen welche von der Petitionskommission als nicht geeignet zur Erörterung im Plenum erachtet worden sind Der tz 28 unserer Geschäftsordnung schreibt vor Zur weiteren Erörterung im Reichstage gelangen diejenigen Petitionen bei welchen auf solche Erörterung entweder von der Kommission oder von 15 Mitgliedern des Reichstages angetragen wird Mir liegt ein Antrag vor unterschrieben von 15 Mitgliedern des Reichstags Metzger und Genossen welcher lautet Der Reichstag wolle beschließen die Petition des WissenschaftlichHumanitären Komitees (Abänderung des tz 175 des Strafgesetzbuchs — Petitionsverzeichniß II 161) zur weiteren Berathung im Plenum zu ziehen Diese Petition II 161 würde daher ausscheiden Nachdem ich dies vorausgeschickt habe eröffne ich die Diskussion über die andern Petitionen — schließe sie und darf mit Ihrer Zustimmung annehmen daß Sie dem Antrage Ihrer Petitionskommission zustimmen — Ich konstatiere das und werde veranlassen daß die Petenten demgemäß beschießen werden Hiermit ist unsere Tagesordnung erschöpft Meine Herren das Material für Plenarsitzungen fängt an zu mangeln andererseits ist es sehr wünschenswerth daß die verschiedenen Kommissionen besonders die Kommission für den ReichshaushaltsEtat einige freie Tage haben um ihre Arbeiten zu fördern Deshalb schlage ich Ihnen vor morgen und übermorgen keine Plenarsitzung zu halten sondern die nächste Plenarsitzung zu halten Montag den 25 Februar Mittags 1 Uhr und als Tagesordnung 1 erste und eventuell zweite Berathung des Entwurfs eines Gesetzes zur Abänderung der Strandungsordnung (Nr 149 der Drucksachen) 2 Berichte der Wahlprüfungskommission betreffend die Wahl folgender Mitglieder des Reichstags Firzlaff Baron de Schmid Henning Schulze Steinen Dr Hänel Götz von Olenhusen Dr Zwick Graf v DönhoffFriedrichstein Hilbck und Graßmann Gegen diesen Vorschlag erhebt sich kein Widerspruch die Tagesordnung steht fest Die Abtheilungen berufe ich zur Wahl der gestern beschlossenen Kommission von 14 Mitgliedern sowie die Kommission zu ihrer Konstituierung auf Montag nach dem Plenum Die Mitglieder des Reichstags Dr Hermes Küchly Dasbach Dr Bachem Schmid (Jmmenstadt) und Sittard wünschen aus der II resp VII XI und XIII Kommission scheiden zu dürfen — Ein Widerspruch erhebt sich nicht ich veranlasse deshalb die 3 5 1 und 4 Abtheilung heute unmittelbar nach der Sitzung die erforderlichen Ersatzwahlen vorzunehmen Ich schließe die Sitzung (Schluß der Sitzung 4 Uhr 11 Minuten);.;.;"*wissenschaftlich humanitär*; §175";1506;1;politischer Katholizismus;Zentrum;Präsident;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militär;
;;;;;;;;1902;.;.;.;.;.;.;.;;;;;;;;;;;
Protokolle_1903_01_21_01;Sitzung;X;II;8;186;243;21.01.1903;1903;Max Hugo Liebermann von Sonnenberg;Fortsetzung der ersten Berathung des Entwurfs eines Gesetzes, betreffend die Feststellung des Reichshaushalts-Etats für das Rechnungsjahr 1903, in Verbindung mit der ersten Berathung der Entwürfe a) eines Gesetzes, betreffend die Feststellung des Haushalts-Etats für die Schutzgebiete auf das Rechnungsjahr 1903, b) eines Gesetzes, betreffend Verwendung der Mehrerträge der Ueberweisungssteuern zur Schuldentilgung (Nr. 798, 799, 803 der Anlagen);Wozu in aller Welt muß man gerade den Juden Hirschfeld und Genossen ihre zum Theil neugebauten Grundstücke in der Bellevuestraße abkaufen Das kann thatsächlich niemand recht einsehen außer vielleicht die Unterhändler die hohe Provisionen dabei verdienen möchten Meine Herren es ist so viel fiskalisches Terrain vorhanden Wenn man das ReichsMarineamt nicht auf das Tempelhofer Feld bauen will;.;.;hirschfeld;7458–7463;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Weißwasser;Provinz Westpreußen;3 Kassel;"Premierlieutnant a. D.; Herausgeber und Eigentümer der Wochenschrift ""Deutsch-soziale Blätter"" zu Gr.-Lichterfelde";Militär;hier S. 7460f.
Protokolle_1904_06_11_01;Sitzung;XI;I;4;200;96;11.06.1904;1904;Dr. jur. Udo Graf zu Stolberg-Werningerode;"Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,
310 und 407 der Anlagen) werden
von der Tagesordnung abgesetzt";"Wir kommen zum nächsten Gegenstand der Tagesordnung K) 19 Bericht betreffend Änderung des § 175 des Strafgesetzbuchs (Nr 407 der Drucksachen) Berichterstatter ist der Herr Abgeordnete Dr Thaler Die l9
Kommission beantragt Übergang zur Tagesordnung
Zur Geschäftsordnung hat das Wort der Herr Abgeordnete Graf v Hompesch";.;.;§175;3111;0;konservativ;Deutschkonservative Partei;Vizepräsident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpräsident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Dönhoffstädt in Ostpreußen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;
